Measurement Name :,20190223_resp_run1,,Generated On :,"22/02/2019, 17:03:09",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
22.02.19 16:33:25,25.33,295.3,304.96,306.91,303.51,302.54,306.91,305.93,303.51,306.42,306.42,305.45,303.51,307.88,306.91,309.83,294.34,305.93,307.39,309.83,297.22,308.37,308.37,300.12,296.26,,11,968,28,14.59,
22.02.19 16:33:40,25.58,295.78,304.96,306.91,303.51,301.09,307.88,304.96,302.54,305.93,307.39,305.93,302.54,308.37,306.91,309.34,293.38,305.93,307.39,309.34,297.22,307.88,307.88,298.19,298.19,,11,968,28,14.57,
22.02.19 16:33:55,25.83,296.26,303.51,307.39,303.02,302.05,307.39,305.45,302.05,305.93,306.42,304.96,303.02,305.93,306.42,308.85,294.34,304.96,307.88,310.31,297.22,308.37,307.88,298.67,298.19,,11,968,28,14.56,
22.02.19 16:34:10,26.08,294.34,303.51,307.88,302.54,301.57,307.39,304.48,303.02,305.45,305.45,304.96,302.05,305.45,305.45,308.85,293.86,305.45,306.91,308.85,296.74,308.37,307.39,298.19,296.74,,11,968,28,14.54,
22.02.19 16:34:25,26.33,293.86,303.51,306.42,302.54,300.6,304.96,304.48,303.02,305.93,305.93,304.48,302.54,307.39,306.42,308.37,293.38,303.99,306.91,308.37,295.78,307.88,307.39,297.71,298.19,,11,968,28,14.52,
22.02.19 16:34:40,26.58,295.3,305.45,306.91,302.54,301.09,307.39,304.96,302.54,305.93,304.96,304.96,303.99,304.96,306.42,308.37,293.86,303.99,306.42,307.39,297.22,306.91,307.39,297.71,297.22,,11,968,28,14.52,
22.02.19 16:34:55,26.83,294.82,303.99,306.91,301.57,301.57,305.93,304.96,302.54,305.45,306.91,304.96,301.57,306.42,306.42,308.37,293.38,303.99,305.93,307.88,296.26,307.88,306.91,297.22,297.71,,11,968,28,14.47,
22.02.19 16:35:10,27.08,295.3,302.05,305.93,302.54,301.57,305.93,304.48,302.05,305.45,305.45,304.96,302.54,306.42,306.91,308.85,294.34,303.51,306.42,308.37,297.22,306.42,308.37,296.74,297.22,,11,968,28,14.47,
22.02.19 16:35:25,27.33,294.34,302.05,305.93,302.05,299.64,306.91,304.48,301.57,304.96,305.93,304.96,302.54,305.93,305.45,309.34,292.9,304.48,304.96,308.85,294.82,307.39,307.39,297.22,296.74,,11,968,28,14.45,
22.02.19 16:35:40,27.58,293.86,303.02,305.93,301.57,301.09,305.45,304.96,301.57,303.99,305.45,303.99,302.54,305.93,304.96,307.88,292.9,303.51,305.93,307.88,295.3,306.42,306.42,296.74,297.22,,11,968,28,14.43,
22.02.19 16:35:55,27.83,293.38,302.54,304.48,302.05,301.09,304.96,304.48,301.57,304.48,305.93,304.48,302.05,305.93,304.96,308.85,292.42,303.51,305.45,308.37,295.3,307.39,306.91,296.74,296.74,,11,968,28,14.41,
22.02.19 16:36:10,28.08,293.86,303.02,305.93,302.54,299.64,305.45,303.99,301.09,303.99,305.45,303.51,301.57,304.48,305.45,307.39,292.9,303.02,305.45,306.91,296.26,306.91,305.45,296.74,296.74,,11,968,28,14.39,
22.02.19 16:36:25,28.33,291.94,301.57,305.45,301.57,300.6,305.93,303.02,300.6,303.51,304.48,303.99,301.09,305.45,303.99,307.88,293.38,303.02,304.96,306.91,294.34,305.93,306.91,295.78,294.82,,11,968,28,14.38,
22.02.19 16:36:40,28.58,292.42,302.54,303.51,301.57,300.12,304.48,303.51,299.15,303.02,304.96,303.02,301.57,303.99,303.99,307.39,292.42,302.54,304.48,306.42,293.86,304.96,306.91,294.82,294.82,,11,968,28,14.36,
22.02.19 16:36:55,28.83,291.94,301.57,303.99,301.57,299.64,303.99,303.99,299.64,303.02,303.51,303.51,301.57,304.96,304.48,307.39,291.94,303.02,304.96,305.93,294.34,304.96,305.45,295.3,296.26,,11,968,28,14.34,
22.02.19 16:37:10,29.08,291.46,301.57,303.99,301.09,298.19,305.45,303.02,300.12,302.54,303.99,303.02,301.09,304.48,303.99,305.93,291.94,302.54,304.48,306.91,294.34,305.93,305.93,296.26,294.82,,11,968,28,14.32,
22.02.19 16:37:25,29.33,291.94,302.05,303.51,301.09,297.71,304.96,302.54,299.15,303.51,302.54,303.02,301.09,304.96,304.48,307.39,291.46,302.54,304.48,305.93,293.38,305.45,303.99,294.82,294.82,,11,968,28,14.31,
22.02.19 16:37:41,29.6,291.94,301.09,303.51,300.6,299.15,303.99,303.02,300.12,302.54,303.02,303.51,300.6,303.51,305.45,306.42,290.98,302.05,303.99,305.45,294.82,305.45,303.02,294.82,294.82,,11,968,28,14.29,
22.02.19 16:37:56,29.85,293.38,301.09,304.48,301.09,299.15,303.99,302.54,299.64,302.54,303.51,303.02,300.12,303.02,304.48,305.93,291.46,301.57,303.99,306.42,294.82,304.96,304.48,294.82,296.26,,11,968,28,14.27,
22.02.19 16:38:11,30.1,292.42,300.12,303.02,300.12,298.19,304.96,302.54,298.67,302.05,303.51,301.57,300.6,303.51,303.51,305.93,290.5,301.09,303.99,304.96,293.38,304.48,304.48,293.38,294.82,,11,968,28,14.25,
22.02.19 16:38:26,30.35,290.98,300.6,303.51,299.64,298.19,303.99,302.54,299.64,301.57,303.02,302.54,300.6,303.02,302.54,306.42,291.94,301.09,303.02,305.45,293.38,304.48,305.45,294.82,294.82,,11,968,28,14.25,
22.02.19 16:38:41,30.6,292.42,300.12,303.51,300.12,298.67,303.99,302.05,299.15,302.54,303.99,303.51,300.6,302.54,304.48,305.45,290.5,301.57,304.48,305.45,293.38,305.45,305.45,294.34,293.38,,11,968,28,14.23,
22.02.19 16:38:56,30.85,290.5,299.15,303.51,299.64,299.15,304.96,301.57,298.67,302.05,302.54,300.6,300.6,302.54,303.99,305.45,290.98,301.57,303.51,304.48,293.38,303.51,303.51,292.42,294.82,,11,968,28,14.22,
22.02.19 16:39:11,31.1,290.5,299.64,302.05,299.15,295.78,303.99,302.05,298.19,301.09,303.51,302.54,298.67,302.54,303.51,304.96,289.54,302.05,303.51,304.48,293.38,303.02,303.51,292.9,294.34,,11,968,28,14.2,
22.02.19 16:39:26,31.35,290.5,298.67,302.05,299.15,298.67,303.99,301.57,297.71,302.05,302.05,301.57,300.12,302.54,303.02,305.45,290.02,301.09,303.99,304.96,293.38,304.96,304.48,292.42,294.34,,11,968,28,14.18,
22.02.19 16:39:41,31.6,290.02,298.19,301.57,299.15,298.67,303.02,301.57,297.71,302.05,302.05,301.57,299.15,302.54,303.02,305.45,290.5,302.05,303.51,304.48,292.9,302.54,303.51,292.9,292.42,,11,968,28,14.15,
22.02.19 16:39:56,31.85,290.02,299.64,302.54,299.64,297.22,302.54,300.6,297.22,301.57,301.57,300.6,299.64,302.05,302.05,304.96,289.54,300.6,302.54,303.99,292.9,303.51,303.51,292.42,292.9,,11,968,28,14.13,
22.02.19 16:40:11,32.1,290.98,298.19,301.57,298.19,296.74,303.02,300.6,296.74,300.12,301.09,301.09,299.15,301.57,302.54,303.99,290.02,301.09,302.05,303.99,292.9,304.48,303.02,291.94,293.38,,11,968,28,14.11,
22.02.19 16:40:26,32.35,288.58,301.09,302.05,299.15,295.78,301.57,300.12,297.22,300.12,301.09,300.12,299.64,302.54,302.05,303.51,289.06,299.64,302.54,302.54,291.94,302.54,302.54,292.9,292.42,,11,968,28,14.09,
22.02.19 16:40:41,32.6,288.58,298.19,301.57,296.74,295.78,302.05,300.6,296.74,300.6,300.12,299.64,299.64,301.57,301.57,303.99,289.54,300.12,302.05,303.51,291.94,303.51,303.02,291.94,292.42,,11,968,28,14.09,
22.02.19 16:40:56,32.85,289.54,298.19,300.12,297.71,296.74,302.54,300.6,296.26,300.6,301.09,298.19,298.19,300.6,302.05,303.51,289.06,299.15,301.09,303.51,291.94,303.02,302.54,290.5,291.94,,11,968,28,14.07,
22.02.19 16:41:11,33.1,288.58,298.67,301.57,297.71,296.74,302.05,301.09,295.78,300.12,301.09,300.12,297.71,300.6,301.57,304.48,289.06,299.15,302.54,303.02,291.46,302.05,302.54,291.46,292.42,,11,968,28,14.06,
22.02.19 16:41:26,33.35,288.58,297.71,301.09,298.19,295.3,302.05,299.64,296.26,300.6,301.09,299.64,298.19,300.6,301.57,303.99,289.06,299.64,302.05,302.54,291.46,302.05,301.57,290.5,291.94,,11,968,28,14.04,
22.02.19 16:41:41,33.6,289.06,296.26,301.09,297.71,294.82,301.57,300.6,295.78,300.6,299.64,300.12,297.71,300.12,301.09,303.02,290.02,299.15,300.6,303.51,290.98,302.05,302.54,290.02,292.9,,11,968,28,14.02,
22.02.19 16:41:56,33.85,288.58,298.19,300.6,296.26,295.3,301.57,299.64,295.78,299.64,301.57,298.19,298.67,300.12,301.57,303.99,288.11,299.15,300.6,301.57,290.98,301.57,302.54,290.02,292.42,,11,968,28,14,
22.02.19 16:42:11,34.1,288.58,298.19,301.09,297.71,295.3,301.57,300.6,296.74,299.15,300.12,300.12,298.19,300.12,302.05,303.51,289.06,298.67,301.57,303.51,291.46,301.09,301.57,289.54,292.9,,11,968,28,14,
22.02.19 16:42:26,34.35,288.11,296.74,300.12,296.26,294.34,301.57,299.64,295.3,299.15,299.15,299.15,295.78,299.64,301.09,302.05,287.15,299.64,300.12,301.09,288.58,302.05,301.57,290.02,291.94,,11,968,28,13.97,
22.02.19 16:42:41,34.6,287.15,296.74,299.64,297.22,294.82,301.57,299.64,296.26,298.19,300.12,299.15,296.74,299.15,300.12,303.51,288.11,298.19,300.6,302.05,291.46,301.57,301.57,289.54,292.42,,11,968,28,13.95,
22.02.19 16:42:56,34.85,288.58,296.74,298.67,297.22,293.86,300.6,300.12,295.3,298.67,300.12,300.12,297.71,299.15,300.12,303.02,287.63,298.67,299.64,302.54,290.5,302.05,301.09,288.58,291.46,,11,968,28,13.95,
22.02.19 16:43:11,35.1,287.63,296.74,299.15,296.26,295.3,301.09,300.12,295.3,298.19,299.15,299.64,297.22,298.67,301.09,303.51,288.11,298.19,301.09,302.05,290.98,301.57,301.57,288.11,290.5,,11,968,28,13.93,
22.02.19 16:43:26,35.35,287.15,297.22,299.15,295.3,295.3,300.6,298.19,293.86,297.71,299.15,298.19,296.26,297.71,299.64,303.02,287.15,298.19,299.64,301.09,290.98,300.6,300.12,288.58,290.5,,11,968,28,13.91,
22.02.19 16:43:41,35.6,286.19,296.26,299.15,295.78,293.86,300.6,299.15,296.26,297.71,299.64,298.67,296.74,298.19,300.12,302.05,288.58,297.71,300.12,301.57,289.54,300.6,300.12,288.11,290.98,,11,968,28,13.89,
22.02.19 16:43:56,35.85,287.15,295.3,298.67,296.74,294.82,299.64,299.15,293.86,297.71,298.67,299.15,296.26,298.19,300.12,303.02,287.63,297.22,300.6,301.09,289.06,302.05,300.12,287.63,290.5,,11,968,28,13.89,
22.02.19 16:44:11,36.1,285.72,296.74,299.15,294.34,293.38,300.6,298.67,294.82,297.22,297.71,297.71,296.74,299.15,300.12,302.05,288.11,297.71,300.6,301.09,289.06,301.09,300.12,287.15,290.5,,11,968,28,13.88,
22.02.19 16:44:26,36.35,286.67,297.22,298.67,296.26,293.86,300.6,297.22,294.82,297.22,298.67,298.19,297.22,298.67,300.6,301.57,286.19,297.71,300.12,301.09,289.06,299.64,300.12,287.15,291.94,,11,968,28,13.86,
22.02.19 16:44:41,36.6,286.67,295.3,297.71,295.3,293.86,299.64,297.71,293.86,297.71,298.19,298.19,296.26,297.71,300.6,301.09,286.19,296.74,300.12,301.57,289.06,300.6,300.12,287.63,289.54,,11,968,28,13.84,
22.02.19 16:44:56,36.85,286.67,295.3,298.19,294.82,293.86,300.12,297.71,293.38,297.71,298.67,298.19,296.26,298.19,300.12,301.57,285.72,298.19,299.64,299.64,289.06,300.6,300.12,286.19,289.06,,11,968,28,13.82,
22.02.19 16:45:11,37.1,286.19,294.82,298.67,295.3,294.34,299.15,298.19,293.86,296.74,298.19,297.71,296.26,298.19,299.15,300.6,287.15,296.26,299.15,301.09,288.58,299.64,299.64,287.63,289.54,,11,968,28,13.82,
22.02.19 16:45:26,37.35,285.24,295.78,297.22,294.34,293.86,299.64,297.22,293.38,297.22,297.71,297.71,295.78,297.71,299.64,300.6,286.67,297.22,298.67,299.64,288.58,299.15,298.67,287.15,290.5,,11,968,28,13.79,
22.02.19 16:45:41,37.6,285.72,294.82,297.71,294.34,293.38,299.15,297.71,292.9,296.26,297.22,297.71,294.34,296.74,299.15,300.6,286.67,297.22,299.15,299.64,289.54,301.09,298.19,286.19,289.54,,11,968,28,13.79,
22.02.19 16:45:56,37.85,285.72,294.34,297.22,293.38,292.9,299.15,297.71,293.38,296.74,297.22,297.71,295.78,296.74,298.67,299.64,285.24,295.78,298.19,299.64,288.11,299.64,299.64,287.15,289.54,,11,968,28,13.75,
22.02.19 16:46:11,38.1,285.24,294.34,297.22,294.34,293.38,299.15,297.71,293.86,295.3,297.22,297.71,294.82,297.22,299.15,300.6,285.24,296.26,298.67,299.64,288.58,299.15,298.67,285.72,288.11,,11,968,28,13.75,
22.02.19 16:46:26,38.35,285.24,293.86,298.19,294.34,291.46,298.19,296.74,292.42,296.26,296.26,297.22,295.78,296.74,298.67,300.6,285.72,295.78,298.19,298.67,287.63,299.64,298.19,286.19,290.98,,11,968,28,13.73,
22.02.19 16:46:41,38.6,285.72,294.34,296.74,294.34,292.9,298.67,296.74,293.86,296.74,296.26,296.74,295.78,296.74,298.19,300.6,285.24,296.26,297.71,298.19,287.15,297.71,297.71,284.76,288.58,,11,968,28,13.72,
22.02.19 16:46:56,38.85,284.76,293.86,296.74,293.38,291.46,298.19,297.22,292.42,295.3,296.74,295.78,295.78,296.26,298.19,300.12,286.19,294.82,298.19,298.67,287.15,299.15,297.22,283.81,288.11,,11,968,28,13.72,
22.02.19 16:47:11,39.1,285.24,295.3,296.74,294.34,291.94,298.67,297.71,292.9,295.78,296.74,297.71,294.82,295.78,297.71,300.12,284.76,295.3,297.22,299.64,288.11,299.15,298.19,284.29,289.06,,11,968,28,13.72,
22.02.19 16:47:26,39.35,285.72,293.38,296.74,292.9,291.94,299.15,295.78,291.94,295.3,297.22,296.26,295.3,295.78,298.67,300.12,285.72,295.78,298.19,298.67,286.19,298.19,298.19,285.24,288.58,,11,968,28,13.7,
22.02.19 16:47:41,39.6,284.76,293.86,297.22,293.38,291.46,297.71,296.26,291.94,295.3,296.74,296.26,293.86,295.78,298.67,297.71,285.72,295.78,297.22,298.67,286.19,300.12,297.22,283.81,289.06,,11,968,28,13.68,
22.02.19 16:47:56,39.85,284.76,293.86,295.3,292.9,291.46,297.22,296.74,292.42,294.34,297.22,295.78,295.78,295.3,298.19,300.12,284.29,294.34,297.71,297.71,287.15,298.67,298.67,284.29,289.54,,11,968,28,13.66,
22.02.19 16:48:11,40.1,283.81,293.38,296.26,292.9,291.46,297.22,296.26,290.5,295.3,295.3,294.34,294.34,295.3,297.71,298.67,285.24,294.82,296.74,298.67,287.15,298.19,298.19,283.81,287.63,,11,968,28,13.64,
22.02.19 16:48:27,40.37,284.76,293.38,296.26,293.38,291.94,298.19,296.74,292.9,295.78,295.3,296.26,294.34,296.26,298.19,299.15,286.19,294.34,297.22,297.71,286.67,297.71,298.19,284.76,289.06,,11,968,28,13.64,
22.02.19 16:48:42,40.62,283.34,292.42,296.26,292.9,291.94,298.19,296.26,291.94,295.78,296.26,296.74,293.86,295.78,298.67,299.15,284.29,294.82,296.26,297.22,286.67,298.19,296.74,283.34,289.06,,11,968,28,13.61,
22.02.19 16:48:57,40.87,283.81,292.42,295.78,292.9,290.98,297.71,296.26,291.46,293.86,294.82,294.34,293.86,294.82,297.71,298.67,284.76,294.82,296.74,298.19,287.15,299.15,297.71,283.34,289.54,,11,968,28,13.61,
22.02.19 16:49:12,41.12,282.38,291.94,295.3,293.38,290.02,296.74,295.3,290.98,294.82,295.3,293.86,293.86,295.3,297.71,297.71,283.34,293.86,295.78,296.26,286.67,296.74,297.22,283.34,287.63,,11,968,28,13.59,
22.02.19 16:49:27,41.37,283.81,291.94,294.82,292.9,290.98,297.22,295.78,290.5,294.82,295.78,295.78,293.86,295.3,297.22,299.15,284.29,294.34,296.74,296.26,284.76,297.22,297.22,282.38,287.63,,11,968,28,13.57,
22.02.19 16:49:42,41.62,283.81,291.46,295.3,292.42,290.5,297.22,296.74,291.46,293.86,294.34,294.82,293.38,294.82,297.22,298.67,284.76,293.86,296.74,296.74,287.15,297.22,296.74,282.38,286.67,,11,968,28,13.57,
22.02.19 16:49:57,41.87,283.34,291.46,294.82,292.42,291.46,297.71,295.78,290.5,294.34,294.34,295.3,293.38,294.34,297.22,298.67,284.76,294.34,296.26,296.74,286.67,297.22,296.74,282.38,287.63,,11,968,28,13.57,
22.02.19 16:50:12,42.12,282.38,292.42,294.34,291.94,290.5,297.22,294.82,290.5,293.86,294.34,295.78,293.86,294.34,297.22,298.67,283.81,293.86,296.74,296.26,285.72,296.74,296.74,282.38,287.63,,11,968,28,13.54,
22.02.19 16:50:27,42.37,282.38,290.98,294.34,292.42,289.54,296.26,294.34,289.54,293.86,294.82,295.3,292.9,294.34,296.26,298.19,283.34,293.38,294.82,298.19,285.24,296.74,295.78,283.34,287.63,,11,968,28,13.52,
22.02.19 16:50:42,42.62,282.86,291.46,294.34,290.98,288.58,296.26,294.82,289.54,293.86,293.86,294.82,291.94,293.86,296.26,298.19,283.34,293.38,296.26,296.26,285.72,297.71,296.26,282.38,286.19,,11,968,28,13.52,
22.02.19 16:50:57,42.87,281.91,290.98,294.82,292.42,289.06,295.3,294.82,290.02,292.9,293.86,295.3,292.9,292.9,296.26,297.22,284.29,293.38,294.82,297.71,287.15,297.71,295.3,281.43,287.15,,11,968,28,13.5,
22.02.19 16:51:12,43.12,281.91,291.46,294.34,291.46,290.02,296.26,294.34,290.5,292.9,294.82,293.86,292.9,293.86,296.26,298.19,282.86,292.42,295.78,296.74,285.24,296.74,296.26,281.43,287.15,,11,968,28,13.48,
22.02.19 16:51:27,43.37,281.91,290.5,293.86,291.94,289.54,296.26,295.3,290.02,292.42,293.86,293.86,292.9,293.38,296.26,298.67,283.34,292.9,294.82,295.78,283.34,295.78,295.78,280.96,287.15,,11,968,28,13.47,
22.02.19 16:51:42,43.62,281.91,291.46,293.86,291.94,288.11,295.78,293.38,289.54,293.38,293.86,293.86,291.46,292.9,295.3,296.74,283.34,291.94,296.26,296.74,284.29,295.78,295.3,281.43,286.67,,11,968,28,13.45,
22.02.19 16:51:57,43.87,280.96,289.54,293.86,291.46,287.15,295.78,294.82,289.54,292.9,293.86,293.86,292.42,293.38,296.26,296.74,283.34,292.9,294.82,294.82,283.81,296.26,295.3,280.01,285.24,,11,968,28,13.45,
22.02.19 16:52:12,44.12,280.48,290.5,294.82,290.98,287.63,295.78,296.26,288.58,292.9,292.9,293.86,292.42,292.9,296.26,296.26,282.86,292.9,294.34,296.74,283.81,295.78,295.78,280.96,286.19,,11,968,28,13.43,
22.02.19 16:52:27,44.37,281.43,289.06,293.86,290.02,288.11,295.3,294.34,289.06,291.94,292.9,292.42,291.94,291.94,295.3,295.78,281.43,290.98,293.38,295.3,283.81,296.26,295.3,280.96,286.67,,11,968,28,13.41,
22.02.19 16:52:42,44.62,280.96,290.5,293.38,290.5,288.11,295.78,294.82,289.06,291.94,292.42,292.42,292.42,292.42,294.82,297.22,283.34,292.9,294.82,296.26,284.29,295.78,294.34,279.53,285.72,,11,968,28,13.41,
22.02.19 16:52:57,44.87,280.96,290.98,292.9,290.98,288.58,295.3,294.82,289.06,293.86,293.86,293.86,292.42,292.42,295.3,296.26,282.38,292.42,294.34,295.78,284.29,295.3,294.34,279.53,285.24,,11,968,28,13.39,
22.02.19 16:53:12,45.12,280.01,289.54,293.38,290.02,288.11,295.3,293.38,288.11,292.42,293.86,292.9,291.94,290.98,295.3,295.3,282.86,291.94,293.38,294.82,284.29,295.3,295.3,280.96,286.67,,11,968,28,13.39,
22.02.19 16:53:27,45.37,280.48,289.54,292.42,289.54,287.15,295.3,293.86,288.11,290.98,292.9,292.9,291.94,292.42,294.34,295.78,280.96,291.46,293.86,294.82,284.29,295.78,294.34,280.01,284.76,,11,968,28,13.36,
22.02.19 16:53:42,45.62,281.43,289.54,292.9,290.02,287.63,295.3,293.86,290.02,292.42,292.42,293.38,291.46,292.42,294.82,295.78,281.43,292.42,293.86,296.26,283.81,295.3,293.38,280.01,286.19,,11,968,28,13.38,
22.02.19 16:53:57,45.87,280.96,289.54,293.38,290.02,288.11,293.86,292.42,287.15,291.94,293.38,292.9,292.42,292.9,294.82,296.26,280.48,290.98,293.38,293.86,284.29,294.34,294.34,280.01,285.72,,11,968,28,13.36,
22.02.19 16:54:12,46.12,280.48,288.58,291.94,290.98,287.63,293.38,293.86,288.11,292.42,292.42,292.42,290.98,290.5,294.82,295.78,281.43,290.98,294.34,295.78,283.81,295.3,294.82,279.06,283.81,,11,968,28,13.34,
22.02.19 16:54:27,46.37,280.01,289.54,292.9,289.54,287.15,293.86,292.9,289.06,290.98,291.46,291.94,290.98,291.46,293.38,295.78,281.91,291.46,293.86,294.82,283.34,294.34,293.38,278.59,284.76,,11,968,28,13.34,
22.02.19 16:54:42,46.62,280.01,290.02,292.9,289.06,285.72,292.9,293.38,287.63,291.46,292.42,292.9,290.98,292.42,295.3,295.78,281.91,290.5,294.34,294.82,283.81,295.78,293.86,279.06,283.81,,11,968,28,13.32,
22.02.19 16:54:57,46.87,280.01,288.58,291.46,288.58,287.15,293.86,294.34,287.15,290.5,290.5,292.42,290.98,290.02,294.82,294.82,280.48,290.98,292.9,294.34,281.91,294.34,293.86,278.11,284.76,,11,968,28,13.29,
22.02.19 16:55:12,47.12,279.53,289.06,291.46,289.06,286.19,292.9,292.42,287.15,290.5,291.94,292.42,290.5,290.98,292.9,294.34,282.38,290.5,293.38,293.86,282.86,294.34,293.86,279.06,282.86,,11,968,28,13.29,
22.02.19 16:55:27,47.37,279.06,288.11,290.98,288.11,285.24,292.9,291.94,287.63,290.5,291.46,291.94,290.5,290.98,292.9,294.82,280.48,290.5,293.38,293.86,282.86,294.34,293.38,278.11,284.76,,11,968,28,13.27,
22.02.19 16:55:42,47.62,280.01,287.63,291.46,288.58,287.15,293.86,291.94,286.67,290.98,291.94,292.42,290.02,290.5,294.34,294.34,281.91,290.02,293.86,295.3,283.81,294.34,293.38,278.11,284.29,,11,968,28,13.27,
22.02.19 16:55:57,47.87,279.06,288.58,290.98,288.58,286.19,292.9,291.46,287.63,290.5,291.94,291.46,290.02,290.5,293.38,294.82,280.96,289.54,293.38,292.9,283.81,293.86,292.42,276.69,285.24,,11,968,28,13.25,
22.02.19 16:56:12,48.12,280.01,288.11,290.5,287.15,286.67,293.38,292.9,286.19,290.5,291.46,291.94,290.98,290.02,293.86,293.38,280.96,289.54,292.9,292.9,282.86,294.34,293.38,278.11,282.38,,11,968,28,13.23,
22.02.19 16:56:27,48.37,278.11,287.63,291.94,289.06,286.67,293.38,292.42,287.15,290.02,290.5,291.94,290.98,290.02,292.9,293.38,280.01,290.5,291.46,293.86,281.91,294.34,292.42,278.11,283.34,,11,968,28,13.23,
22.02.19 16:56:42,48.62,278.59,288.58,291.46,288.58,285.72,293.38,291.94,288.11,290.5,291.46,290.5,290.5,289.54,293.38,294.34,280.96,290.02,292.42,292.9,281.43,294.34,292.42,277.64,284.76,,11,968,28,13.22,
22.02.19 16:56:57,48.87,278.11,287.15,290.98,288.11,284.29,293.38,292.42,287.15,290.02,290.5,290.5,290.98,288.58,292.9,294.34,279.53,289.54,292.42,293.86,282.38,293.38,292.42,276.22,283.81,,11,968,28,13.2,
22.02.19 16:57:12,49.12,279.53,288.11,290.98,287.15,285.24,292.9,291.94,285.72,290.5,290.98,291.46,290.02,290.02,292.42,293.38,280.01,290.02,291.46,292.9,282.38,293.38,292.42,277.16,283.81,,11,968,28,13.18,
22.02.19 16:57:27,49.37,277.16,287.63,290.02,288.11,284.29,291.94,291.46,285.72,289.54,290.98,291.46,290.02,289.06,293.38,293.86,280.48,289.06,292.42,291.94,280.01,292.9,290.5,276.69,282.38,,11,968,28,13.2,
22.02.19 16:57:42,49.62,277.64,285.72,290.02,288.58,284.76,293.38,291.94,287.63,289.54,290.02,290.5,290.02,289.06,292.9,294.34,280.01,289.54,291.94,293.86,281.91,291.94,291.94,276.22,284.76,,11,968,28,13.18,
22.02.19 16:57:57,49.87,278.11,287.15,290.98,287.15,284.76,292.9,291.94,285.72,288.11,290.02,290.98,290.02,288.11,292.9,293.86,278.59,289.54,292.9,292.9,281.91,292.9,291.46,277.16,284.76,,11,968,28,13.16,
22.02.19 16:58:12,50.12,277.64,287.63,290.02,287.15,285.24,292.42,290.98,286.19,289.54,290.02,290.02,290.5,289.06,292.42,293.38,279.06,289.54,292.42,293.38,281.91,292.9,291.46,276.69,282.86,,11,968,28,13.15,
22.02.19 16:58:27,50.37,278.59,286.67,290.98,287.63,284.29,292.9,291.94,285.72,288.58,290.5,290.5,290.02,289.06,292.9,293.38,280.48,290.02,290.98,291.46,280.96,291.94,291.94,276.22,282.86,,11,968,28,13.14,
22.02.19 16:58:45,50.67,277.64,287.63,290.02,286.19,283.81,291.46,290.98,286.67,288.58,290.02,290.02,289.54,287.63,293.38,293.38,279.06,289.06,291.94,292.9,280.96,291.46,291.46,274.8,283.34,,11,968,28,13.11,
22.02.19 16:59:00,50.92,278.11,286.19,290.5,287.63,284.29,292.9,290.5,285.72,288.58,290.5,290.98,289.54,288.11,292.42,293.38,280.01,288.11,291.46,291.46,280.01,293.86,291.46,276.69,283.34,,11,968,28,13.11,
22.02.19 16:59:15,51.17,277.64,287.15,289.54,287.63,284.76,292.42,291.46,286.19,288.58,289.06,289.06,289.54,287.63,292.42,292.42,279.06,289.06,291.94,293.38,280.48,292.42,290.98,276.69,282.86,,11,968,28,13.09,
22.02.19 16:59:30,51.42,277.16,287.63,290.5,287.15,283.81,291.94,290.5,286.19,289.06,289.54,290.98,290.02,288.11,291.46,292.9,280.01,287.63,291.46,293.38,280.48,291.94,290.98,275.75,281.43,,11,968,28,13.09,
22.02.19 16:59:45,51.67,276.69,286.19,290.02,285.72,284.76,291.94,291.46,285.24,288.58,290.02,289.54,289.06,288.58,291.46,293.38,278.11,288.11,290.02,292.42,280.48,291.94,290.5,274.8,281.43,,11,968,28,13.07,
22.02.19 17:00:00,51.92,277.64,286.19,289.54,287.63,283.34,292.42,290.98,286.19,287.63,288.58,290.02,289.54,286.67,291.46,291.94,279.06,289.54,290.98,291.94,280.48,291.94,290.5,274.8,283.34,,11,968,28,13.07,
22.02.19 17:00:15,52.17,276.69,287.15,289.54,287.15,282.86,291.94,291.46,285.24,288.11,290.02,290.02,287.63,287.63,291.46,292.42,279.06,288.11,291.46,292.9,280.01,290.98,289.54,275.27,283.34,,11,968,28,13.06,
22.02.19 17:00:30,52.42,276.22,286.19,288.58,286.19,284.29,290.98,290.5,284.76,288.11,289.06,289.54,289.06,287.15,291.94,291.46,278.59,288.11,290.98,292.42,280.96,292.42,290.5,275.27,281.43,,11,968,28,13.06,
